country,total_content,movie_count,tv_show_count,percentage_of_total,avg_quality_score,earliest_release_year,latest_release_year,avg_release_year,years_of_production,created_at
Slovakia,1,1,0,0.01,100.0,2016,2016,2016.0,1,2026-08-31T13:16:18.024Z
Sri Lanka,1,1,0,0.01,100.0,2010,2010,2010.0,1,2026-08-31T13:16:18.024Z
Samoa,1,1,0,0.01,90.0,2017,2017,2017.0,1,2026-08-31T13:16:18.024Z
Bahamas,1,1,0,0.01,100.0,2006,2006,2006.0,1,2026-08-31T13:16:18.024Z
Lithuania,1,1,0,0.01,100.0,2015,2015,2015.0,1,2026-08-31T13:16:18.024Z
Belarus,1,0,1,0.01,90.0,2016,2016,2016.0,1,2026-08-31T13:16:18.024Z
Albania,1,1,0,0.01,100.0,2018,2018,2018.0,1,2026-08-31T13:16:18.024Z
Cuba,1,0,1,0.01,90.0,2016,2016,2016.0,1,2026-08-31T13:16:18.024Z
Ethiopia,1,1,0,0.01,100.0,1993,1993,1993.0,1,2026-08-31T13:16:18.024Z
Uganda,1,1,0,0.01,90.0,2018,2018,2018.0,1,2026-08-31T13:16:18.024Z
Latvia,1,1,0,0.01,100.0,2016,2016,2016.0,1,2026-08-31T13:16:18.024Z
Jamaica,1,1,0,0.01,100.0,2018,2018,2018.0,1,2026-08-31T13:16:18.024Z
Ecuador,1,1,0,0.01,100.0,2014,2014,2014.0,1,2026-08-31T13:16:18.024Z
Cyprus,1,0,1,0.01,90.0,2017,2017,2017.0,1,2026-08-31T13:16:18.024Z
Palestine,1,1,0,0.01,90.0,2019,2019,2019.0,1,2026-08-31T13:16:18.024Z
Paraguay,1,1,0,0.01,100.0,2018,2018,2018.0,1,2026-08-31T13:16:18.024Z
Dominican Republic,1,1,0,0.01,100.0,2017,2017,2017.0,1,2026-08-31T13:16:18.024Z
Sudan,1,1,0,0.01,100.0,2017,2017,2017.0,1,2026-08-31T13:16:18.024Z
Puerto Rico,1,0,1,0.01,90.0,2018,2018,2018.0,1,2026-08-31T13:16:18.024Z
Mozambique,1,1,0,0.01,100.0,2019,2019,2019.0,1,2026-08-31T13:16:18.024Z
Mongolia,1,1,0,0.01,90.0,2017,2017,2017.0,1,2026-08-31T13:16:18.024Z
Panama,1,1,0,0.01,100.0,2015,2015,2015.0,1,2026-08-31T13:16:18.024Z
Malawi,1,1,0,0.01,100.0,2019,2019,2019.0,1,2026-08-31T13:16:18.024Z
Angola,1,1,0,0.01,100.0,2020,2020,2020.0,1,2026-08-31T13:16:18.024Z
Kazakhstan,1,1,0,0.01,90.0,2016,2016,2016.0,1,2026-08-31T13:16:18.024Z
Botswana,1,1,0,0.01,90.0,2016,2016,2016.0,1,2026-08-31T13:16:18.024Z
East Germany,1,1,0,0.01,100.0,1971,1971,1971.0,1,2026-08-31T13:16:18.024Z
Azerbaijan,1,0,1,0.01,90.0,2013,2013,2013.0,1,2026-08-31T13:16:18.024Z
Vatican City,1,1,0,0.01,100.0,2018,2018,2018.0,1,2026-08-31T13:16:18.024Z
Montenegro,1,1,0,0.01,100.0,2015,2015,2015.0,1,2026-08-31T13:16:18.024Z
